Product URL,Product Name,Product Price,Rating,Number of reviews,Manufacturer,ASIN
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0MDY2NjA2NTk3ODQ0MTM6MTY3NTQ5Mzc5NTpzcF9hdGY6MjAwOTg1NjE0NDAwOTg6OjA6Og&url=%2FSwisslook-Polyester-15-6-inch-Backpack-Waterproof%2Fdp%2FB07XYTZP4Z%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675493795%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft Travel Backpack  ,"₹2,849",4.3 out of 5 stars,"1,258",Red Lemon,B07XYTZP4Z
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo0MDY2NjA2NTk3ODQ0MTM6MTY3NTQ5Mzc5NTpzcF9hdGY6MjAwOTg1NjE0NDAxOTg6OjA6Og&url=%2FRed-Lemon-Titanium-Multifunctional-Waterproof%2Fdp%2FB09ZYQH7C5%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675493795%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Red Lemon BANGE Titanium Multifunctional Hard Shell Waterproof Business Travel Laptop Backpack for Men and Women (Black)  ,"₹4,599",4.5 out of 5 stars,14,Encon Impex Pvt Ltd,B09ZYQH7C5
https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)  ,"₹1,199",4.1 out of 5 stars,"51,381",Samsonite,B07CJCGM1M
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)  ,₹565,4.3 out of 5 stars,"9,233",Wesley,B084JGJ8PF
https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-5,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)  ,₹499,3.9 out of 5 stars,463,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF
https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-6,Skybags Brat Black 46 Cms Casual Backpack  ,₹669,4.1 out of 5 stars,"3,373",VIP Industries Ltd,B08Z1HHHTD
https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-7,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping  ",₹699,3.9 out of 5 stars,"2,191","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B29F66W
https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-8,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel  ,₹889,4.3 out of 5 stars,"5,318","Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07M9BRCQ5
https://www.amazon.in//Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-9,DEIN KLEIDER Men's Nylon Messenger Bag  ,₹349,4.0 out of 5 stars,"4,398",,B084ZHP97M
https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675493795&sprefix=ba%2Caps%2C283&sr=8-10,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)  ",₹349,4.1 out of 5 stars,"7,634",Korrun India Pvt. Ltd,B088XB5XY8
